CmdSelectAll,Selecciona todo
CmdDelete,Borra
CmdCancel,Anula
CmdOK,Acepta
CmdClose,Cierra
CmdHelp,Ayuda
CmdFind,Busca
formmenu_caption,Convertidor
formmenu_file,&Archivos
formmenu_openmarkup,&Abrir
formmenu_exit,&Salir
formmenu_options,&Opciones
formmenu_config,&Configuración
formmenu_help,&Ayuda
formmenu_about,&Sobre
formmenu_content,&Contenido
FormMarkup_caption,Marcación
formMarkup_LabISSN,ISSN
formMarkup_LabSglPer,Sigla
formMarkup_LabVol,Volumen
formMarkup_LabSupplVol,Supl Vol
formMarkup_LabNro,Número
formMarkup_LabSupplNo,Supl Número
formMarkup_FramDoc,Documentos
formMarkup_CmdSelectAll,Selecciona Todo
formMarkup_CmdLoad,Convierte
formMarkup_FramDB,Resultado
formMarkup_LabLoaded,Convertido
formMarkup_LabNotLoaded,No Convertido
formMarkup_CmdViewLog,Resultado
FormViewLog_Caption,Resultado
FrmResult_Caption,Resultado
FormConfig_Caption,Configuración
FormConfig_LabWebBrowserProgram,Programa Web Browser
FormConfig_CmdFind,Búsqueda
FormConfig_LabIdiomInterf,Idioma de la interfase
FormConfig_LabBV,Biblioteca Virtual
frmFindBrowser_Caption,Busca un programa web browser
LabFileCount,Documento(s):
MsgProcessBegin,Inicio
MsgLoadedDatabase,Cargada
MsgNotLoadedDatabase,No cargada
MsgProcessEnd ,Fin de la carga en la base de datos
MsgTokenTime,Tiempo en segundos: 
MsgParserResultProblemNoScope,Resultado del parser - Sin escopo
MsgParserResultProblemNoEndofTag,Resultado del parser - No fue encontrado el fin de la tag:
MsgParserResultProblemNoStartofTag,Resultado del parser - No fue encontrado el inicio de la tag
MsgParserResultProblemNoTag,Resultado del parser - Falta de '>' de la tag
MsgParserResultProblemFilenotOK,Archivo con el resultado del parser no está bien
MsgMarkupErrors, Errores de marcación: 
MsgRecordingdata,Guardando los datos en la base
MsgSettingPrevious,Procesando los autores 'previous'
MsgSettingISSN,Buscando el ISSN de los títulos de revistas de las citas bibliográficas
MsgEndofSettingISSN,Fin de la búsqueda por el ISSN
MsgInvalidDocOrder,Valor inválido para order en el documento: 
MsgDocOrderRange,Debe estar entre 
MsgInvalidDocOrderFormat,Formato inválido de order:
MsgDBDocOrder,: está en la base de datos y tiene order=
MsgDirtyTag,: tag contiene  html tags
MsgMissingBodyFiles,Faltan unos archivos en el directorio body
MsgTakenTotalTime,Tiempo total en segundos: 
MsgSucessPercent,Éxito=
MsgInvalidNumberofDoc,Número inválido de documentos.
MsgInvalidNumberofDocInMarkup,En el directorio markup:
MsgInvalidNumberofDocInCfgRec,En el registro de configuración: 
MsgFailureWriting,Error de escritura en la base de datos. Mfn=
MsgUpdateFailure,Error de actualización en la base de datos. Mfn=
msgDeletingFailure_Field,Error al borrar el campo 
MsgInversionUpdateFailure,Error de actualización de archivo invertido: 
MsgFieldAddFailure,Error escribiendo en el campo=
msgRecordDeleteFailure,Error al borrar el registro. Mfn=
MsgRemoveEmptyRecords,Elimina los registros vacíos.
MsgDatabaseUpdateFailure,Error en la actualización de la base de datos: 
MsgRecordCopyFailure,Error en la copia de registro
MsgMissingReferences,Citas bibliográficas no encontradas en el texto completo=
MsgRecognizeDocType,Identificando el tipo del documento...
MsgFinalTagNotFound,Tag final del documento no fue encontrado:
MsgInvalidDocumentType,Tipo inválido del documento:
MsgLinkedFieldNotExist,Link para el campo no existe: 
MsgAnalyseDoc,Analizando el documento...
MsgGettingFieldContents,Obteniendo el contenido de los campos...
MsgPrepareFulltext,Preparando el texto completo...
MsgSettingReferenceLinks,Obteniendo el link de los registros de las citas bibliográficas para el texto completo...
MsgGettingfulltext,Obteniendo el texto completo...
MsgSortingRecords,Ordenando los registros para salvar
MsgCfgRecMissingInCfgDB,Registro de Configuración se brinca en la base de datos de Registros de configuración o en la base 'issue'
MsgMissingInCfgRec,: no hay en el Registro de Configuración.
