CmdSelectAll,Seleciona tudo
CmdDelete,Apaga
CmdCancel,Cancela
CmdOK,OK
CmdClose,Fecha
CmdHelp,Ajuda
CmdFind,Procura
formmenu_caption,Conversor
formmenu_file,&Arquivos
formmenu_openmarkup,&Abrir
formmenu_exit,&Sair
formmenu_options,&Opções
formmenu_config,&Configurações
formmenu_help,Aju&da
formmenu_about,&Sobre
formmenu_content,&Conteúdo
FormMarkup_caption,Marcação
formMarkup_LabISSN,ISSN
formMarkup_LabSglPer,Sigla
formMarkup_LabVol,Volume
formMarkup_LabSupplVol,Supl Vol
formMarkup_LabNro,Número
formMarkup_LabSupplNo,Supl Num
formMarkup_FramDoc,Documentos
formMarkup_CmdSelectAll,Seleciona Tudo
formMarkup_CmdLoad,Converte
formMarkup_FramDB,Resultado
formMarkup_LabLoaded,Convertido
formMarkup_LabNotLoaded,Não convertido
formMarkup_CmdViewLog,Resultado
FormViewLog_Caption,Resultado
FrmResult_Caption,Resultado
FormConfig_Caption,Configuração
FormConfig_LabWebBrowserProgram,Programa Web Browser
FormConfig_LabIdiomInterf,Idioma da Interface
FormConfig_LabBV,Biblioteca Virtual
frmFindBrowser_Caption,Procura um programa Web Browser
LabFileCount,Documento(s):
MsgProcessBegin,Início
MsgLoadedDatabase,Carregada
MsgNotLoadedDatabase,Não carregada
MsgProcessEnd ,Fim da carga na base de dados
MsgTokenTime,Tempo em segundos: 
MsgParserResultProblemNoScope,Resultado do Parser - Sem escopo
MsgParserResultProblemNoEndofTag,Resultado do Parser - Não há o fim da tag:
MsgParserResultProblemNoStartofTag,Resultado do Parser - Não há o início da tag:
MsgParserResultProblemNoTag,Resultado do Parser - Falta '>' de tag
MsgParserResultProblemFilenotOK,Arquivo com o resultado do Parser não está correto
MsgMarkupErrors, Erros de Marcação: 
MsgRecordingdata,Gravando os dados na base
MsgSettingPrevious,Processando os autores 'previous'
MsgSettingISSN,Procurando o ISSN dos títulos de revistas das referências bibliográficas
MsgEndofSettingISSN,Fim da busca pelo ISSN
MsgInvalidDocOrder,Valor inválido para order no documento: 
MsgDocOrderRange,Deve estar entre
MsgInvalidDocOrderFormat,Formato inválido de order:
